npi,provider_name,taxonomy_code,specialty,is_pcp,practice_location_id,practice_location_name,tin,aco_participant,effective_date,termination_date
1679478607,"Fowler, Angel J",207R00000X,Internal Medicine,True,SITE-001,Peachtree Primary Care,123456789,True,2022-02-14,
1462172927,"Sanchez, Donald D",207RG0300X,Geriatrics,True,SITE-002,Midtown Medical Group,234567890,True,2024-07-20,
1590886206,"Rhodes, Patricia C",207Q00000X,Family Medicine,True,SITE-003,Northside Family Medicine,345678901,True,2023-10-14,
1499072778,"Garza, Anthony C",207Q00000X,Family Medicine,True,SITE-001,Peachtree Primary Care,123456789,True,2024-04-13,
1505413597,"Robinson, William A",207R00000X,Internal Medicine,True,SITE-002,Midtown Medical Group,234567890,True,2022-08-05,
1304514849,"Hoffman, Jennifer W",207Q00000X,Family Medicine,True,SITE-003,Northside Family Medicine,345678901,True,2022-01-11,
1182922322,"Barnes, Shane J",207R00000X,Internal Medicine,True,SITE-001,Peachtree Primary Care,123456789,True,2024-05-07,
1599126307,"Pacheco, Adam F",207Q00000X,Family Medicine,True,SITE-002,Midtown Medical Group,234567890,True,2024-06-09,
1899100857,"Wolfe, Matthew E",207Q00000X,Family Medicine,True,SITE-003,Northside Family Medicine,345678901,True,2023-12-20,
1157435530,"Lewis, Kathryn D",207RG0300X,Geriatrics,True,SITE-001,Peachtree Primary Care,123456789,True,2024-03-18,
1872462163,"Davis, Colin M",207RG0300X,Geriatrics,True,SITE-002,Midtown Medical Group,234567890,True,2024-04-18,
1844868053,"Munoz, Lindsay R",207RG0300X,Geriatrics,True,SITE-003,Northside Family Medicine,345678901,True,2023-05-11,
1349083724,"Herrera, Teresa N",207RG0300X,Geriatrics,True,SITE-001,Peachtree Primary Care,123456789,True,2024-12-27,
1668497958,"Miller, Kelly M",207R00000X,Internal Medicine,True,SITE-002,Midtown Medical Group,234567890,True,2022-11-03,
1248706171,"Ray, Janet B",207Q00000X,Family Medicine,True,SITE-003,Northside Family Medicine,345678901,True,2022-01-10,
1782278965,"Stanley, Kendra C",207R00000X,Internal Medicine,True,SITE-001,Peachtree Primary Care,123456789,True,2024-03-04,
1419073370,"Wyatt, Michelle N",207R00000X,Internal Medicine,True,SITE-002,Midtown Medical Group,234567890,True,2023-10-10,
1161128001,"Ramirez, Cynthia M",207RG0300X,Geriatrics,True,SITE-003,Northside Family Medicine,345678901,True,2022-01-27,
1973628220,"Martin, Michael J",363L00000X,Nurse Practitioner,True,SITE-001,Peachtree Primary Care,123456789,True,2024-11-11,
1501118737,"Miles, Frances C",363L00000X,Nurse Practitioner,True,SITE-002,Midtown Medical Group,234567890,True,2022-04-26,
1903809008,"Lynch, George H",207RC0000X,Cardiology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2024-12-14,
1710127109,"Martin, Noah W",207RC0000X,Cardiology,False,SITE-005,Southside Health Partners,567890123,True,2022-04-20,
1800545146,"Robinson, Mark B",207RC0000X,Cardiology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2024-06-13,
1783909496,"Perez, Antonio L",207RC0000X,Cardiology,False,SITE-005,Southside Health Partners,567890123,True,2024-08-08,
1275174836,"Morales, Carl L",207RC0000X,Cardiology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2024-02-22,
1427515427,"Lewis, Victor R",207RE0101X,Endocrinology,False,SITE-005,Southside Health Partners,567890123,True,2023-07-28,2025-06-18
1520048902,"Thomas, Donald W",207RE0101X,Endocrinology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-07-08,
1548012387,"Ryan, Julie P",207RE0101X,Endocrinology,False,SITE-005,Southside Health Partners,567890123,True,2024-10-22,
1591912552,"Hurst, Reginald H",207RE0101X,Endocrinology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2022-12-08,
1238860542,"Osborn, Devon S",207X00000X,Orthopedics,False,SITE-005,Southside Health Partners,567890123,True,2024-08-21,
1769038315,"Davis, Brandon D",207X00000X,Orthopedics,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-05-23,
1930275054,"Hernandez, Ernest P",207X00000X,Orthopedics,False,SITE-005,Southside Health Partners,567890123,True,2023-05-13,
1770285939,"Carlson, Paul R",207X00000X,Orthopedics,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-06-21,
1429978390,"Rice, Tasha A",207RP1001X,Pulmonology,False,SITE-005,Southside Health Partners,567890123,True,2023-10-08,
1469765318,"Frazier, Danny W",207RP1001X,Pulmonology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2022-04-03,
1393242821,"Potter, Kayla L",207RP1001X,Pulmonology,False,SITE-005,Southside Health Partners,567890123,True,2022-03-03,
1433413734,"Rodriguez, Ryan R",208600000X,General Surgery,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2022-05-13,
1168708867,"Smith, Jennifer J",208600000X,General Surgery,False,SITE-005,Southside Health Partners,567890123,True,2022-01-26,2025-07-09
1522600229,"Stanton, Kathleen T",208600000X,General Surgery,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-02-04,
1816111976,"Gaines, Monica K",208600000X,General Surgery,False,SITE-005,Southside Health Partners,567890123,True,2024-02-13,
1270524222,"Skinner, William G",207RN0300X,Nephrology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-10-20,
1516646513,"Hernandez, Kathryn W",207RN0300X,Nephrology,False,SITE-005,Southside Health Partners,567890123,True,2023-09-06,
1216929354,"Ashley, Sandra A",207RN0300X,Nephrology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2024-09-21,
1528134432,"George, Tracy D",2084N0400X,Neurology,False,SITE-005,Southside Health Partners,567890123,True,2023-06-09,
1397176699,"Hickman, Natasha K",2084N0400X,Neurology,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2022-09-23,
1304218413,"Allen, John C",2084N0400X,Neurology,False,SITE-005,Southside Health Partners,567890123,True,2024-02-17,
1608049903,"Miller, Todd C",2084P0800X,Psychiatry,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-11-16,
1702832594,"Spence, Amanda E",2084P0800X,Psychiatry,False,SITE-005,Southside Health Partners,567890123,True,2023-07-05,
1946275485,"Anderson, Thomas W",2084P0800X,Psychiatry,False,SITE-004,Buckhead Specialty Clinic,456789012,True,2023-12-13,
1493436726,"Martin, Allison P",2084P0800X,Psychiatry,False,SITE-005,Southside Health Partners,567890123,True,2023-02-24,
